Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Total_Sales,Month
ORD-10001,2025-01-01,C1077,Laptop,Electronics,North,1,60645.53,60645.53,2025-01
ORD-10002,2025-01-01,C1024,Webcam,Electronics,South,4,3047.83,12191.32,2025-01
ORD-10003,2025-01-02,C1011,Headphones,Accessories,East,1,2203.89,2203.89,2025-01
ORD-10004,2025-01-03,C1039,Monitor,Electronics,North,2,11916.39,23832.78,2025-01
ORD-10005,2025-01-04,C1041,Monitor,Electronics,East,3,11656.3,34968.899999999994,2025-01
ORD-10006,2025-01-05,C1053,Usb Hub,Electronics,South,4,1170.72,4682.88,2025-01
ORD-10007,2025-01-05,C1025,Laptop,Electronics,West,3,73948.0,90730.79625000001,2025-01
ORD-10008,2025-01-06,C1076,Headphones,Accessories,East,5,2223.56,11117.8,2025-01
ORD-10009,2025-01-07,C1042,Mouse,Accessories,East,5,928.28,4641.4,2025-01
ORD-10010,2025-01-08,C1023,Laptop,Electronics,North,1,59589.17,59589.17,2025-01
ORD-10011,2025-01-09,C1076,Monitor,Electronics,South,5,12455.71,62278.549999999996,2025-01
ORD-10012,2025-01-10,C1074,Usb Hub,Electronics,West,4,1088.46,4353.84,2025-01
ORD-10013,2025-01-10,C1040,Webcam,Electronics,North,4,2731.29,10925.16,2025-01
ORD-10014,2025-01-11,C1002,Webcam,Electronics,Unknown,1,3437.64,3437.64,2025-01
ORD-10015,2025-01-12,C1048,Webcam,Electronics,South,4,3155.075,12620.3,2025-01
ORD-10016,2025-01-13,C1044,Webcam,Electronics,East,4,3063.32,12253.28,2025-01
ORD-10017,2025-01-14,C1012,Monitor,Electronics,East,3,10973.04,32919.12,2025-01
ORD-10018,2025-01-14,C1051,Laptop,Electronics,South,1,68237.38,68237.38,2025-01
ORD-10019,2025-01-15,C1067,Webcam,Electronics,South,3,3309.54,9928.619999999999,2025-01
ORD-10020,2025-01-16,C1009,Monitor,Electronics,East,5,11818.33,59091.65,2025-01
ORD-10021,2025-01-17,C1058,Monitor,Electronics,North,4,12315.52,49262.08,2025-01
ORD-10022,2025-01-18,C1012,Keyboard,Accessories,East,1,1852.12,1852.12,2025-01
ORD-10023,2025-01-19,C1060,Mouse,Accessories,North,5,995.09,4975.45,2025-01
ORD-10024,2025-01-19,C1034,Usb Hub,Electronics,East,5,1069.83,5349.15,2025-01
ORD-10025,2025-01-20,C1001,Webcam,Electronics,East,1,2821.92,2821.92,2025-01
ORD-10026,2025-01-21,C1077,Headphones,Accessories,North,5,2713.44,13567.2,2025-01
ORD-10027,2025-01-22,C1014,Keyboard,Accessories,West,3,1752.27,5256.8099999999995,2025-01
ORD-10028,2025-01-23,C1048,Webcam,Electronics,South,3,3485.34,10456.02,2025-01
ORD-10029,2025-01-24,C1015,Monitor,Electronics,West,3,12368.04,37104.12,2025-01
ORD-10030,2025-01-24,C1074,Monitor,Electronics,North,4,11874.11,47496.44,2025-01
ORD-10031,2025-01-25,C1059,Monitor,Electronics,North,5,12334.82,61674.1,2025-01
ORD-10032,2025-01-26,C1064,Mouse,Accessories,South,4,1040.47,4161.88,2025-01
ORD-10033,2025-01-27,C1035,Laptop,Electronics,North,5,75800.3,90730.79625000001,2025-01
ORD-10034,2025-01-28,C1037,Monitor,Electronics,South,5,12066.61,60333.05,2025-01
ORD-10035,2025-01-28,C1051,Usb Hub,Electronics,East,1,1114.1,1114.1,2025-01
ORD-10036,2025-01-29,C1062,Laptop,Electronics,North,2,70596.45,90730.79625000001,2025-01
ORD-10037,2025-01-30,C1067,Usb Hub,Electronics,East,4,1025.58,4102.32,2025-01
ORD-10038,2025-01-31,C1002,Webcam,Electronics,North,3,3285.27,9855.81,2025-01
ORD-10039,2025-02-01,C1053,Mouse,Accessories,North,1,898.14,898.14,2025-02
ORD-10040,2025-02-02,C1009,Headphones,Accessories,East,1,2562.78,2562.78,2025-02
ORD-10041,2025-02-02,C1023,Mouse,Accessories,West,3,840.0,2520.0,2025-02
ORD-10042,2025-02-03,C1066,Webcam,Electronics,North,4,2793.07,11172.28,2025-02
ORD-10043,2025-02-04,C1020,Headphones,Accessories,South,1,2085.4,2085.4,2025-02
ORD-10044,2025-02-05,C1063,Keyboard,Accessories,West,1,1639.1,1639.1,2025-02
ORD-10045,2025-02-06,C1037,Laptop,Electronics,West,1,68237.38,68237.38,2025-02
ORD-10046,2025-02-06,C1019,Usb Hub,Electronics,East,3,1074.2,3222.6000000000004,2025-02
ORD-10047,2025-02-07,C1027,Monitor,Electronics,South,1,13859.74,13859.74,2025-02
ORD-10048,2025-02-08,C1042,Usb Hub,Electronics,South,3,1197.33,3591.99,2025-02
ORD-10049,2025-02-09,C1061,Headphones,Accessories,East,3,2307.58,6922.74,2025-02
ORD-10050,2025-02-10,C1048,Webcam,Electronics,East,3,3289.01,9867.03,2025-02
ORD-10051,2025-02-11,C1074,Webcam,Electronics,South,4,3095.79,12383.16,2025-02
ORD-10052,2025-02-11,C1069,Mouse,Accessories,North,3,879.53,2638.59,2025-02
ORD-10053,2025-02-12,C1060,Keyboard,Accessories,North,4,1826.69,7306.76,2025-02
ORD-10054,2025-02-13,C1048,Monitor,Electronics,West,4,12594.4,50377.6,2025-02
ORD-10055,2025-02-14,C1023,Monitor,Electronics,South,5,11674.31,58371.549999999996,2025-02
ORD-10056,2025-02-15,C1033,Laptop,Electronics,South,4,70532.03,90730.79625000001,2025-02
ORD-10057,2025-02-16,C1010,Monitor,Electronics,South,3,10903.74,32711.22,2025-02
ORD-10058,2025-02-16,C1030,Mouse,Accessories,West,3,900.46,2701.38,2025-02
ORD-10059,2025-02-17,C1074,Webcam,Electronics,North,20,30920.0,90730.79625000001,2025-02
ORD-10060,2025-02-18,C1034,Headphones,Accessories,North,3,2544.62,7633.86,2025-02
ORD-10061,2025-02-19,C1009,Usb Hub,Electronics,South,1,1226.12,1226.12,2025-02
