Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Total_Sales
ORD-10001,2025-01-01,C1077,Laptop,Electronics,North,1.0,60645.53,60645.53
ORD-10002,2025-01-01,C1024,Webcam,Electronics,South,4.0,3047.83,12191.33
ORD-10003,2025-01-02,C1011,Headphones,Accessories,East,1.0,2203.89,2203.89
ORD-10004,2025-01-03,C1039,Monitor,Electronics,North,2.0,,22294.78
ORD-10005,2025-01-04,C1041,Monitor,Electronics,East,3.0,11656.3,34968.91
ORD-10006,2025-01-05,C1053,USB Hub,Electronics,South,4.0,1170.72,4682.86
ORD-10007,2025-01-05,C1025,Laptop,Electronics,West,3.0,73948.0,221844.01
ORD-10008,2025-01-06,C1076,Headphones,Accessories,East,5.0,2223.56,11117.82
ORD-10009,2025-01-07,C1042,Mouse,Accessories,East,5.0,928.28,4641.42
ORD-10010,2025-01-08,C1023,Laptop,Electronics,North,1.0,59589.17,59589.17
ORD-10011,2025-01-09,C1076,Monitor,Electronics,South,5.0,12455.71,62278.55
ORD-10012,2025-01-10,C1074,USB Hub,Electronics,West,4.0,1088.46,4353.86
ORD-10013,2025-01-10,C1040,Webcam,Electronics,North,4.0,2731.29,10925.15
ORD-10014,2025-01-11,C1002,Webcam,Electronics,,1.0,3437.64,3437.64
ORD-10015,2025-01-12,C1048,Webcam,Electronics,South,4.0,,12180.48
ORD-10016,2025-01-13,C1044,Webcam,Electronics,East,4.0,3063.32,12253.29
ORD-10017,2025-01-14,C1012,Monitor,Electronics,East,3.0,10973.04,32919.11
ORD-10018,2025-01-14,C1051,Laptop,Electronics,South,1.0,,61597.73
ORD-10019,2025-01-15,C1067,Webcam,Electronics,South,3.0,3309.54,9928.62
ORD-10020,2025-01-16,C1009,Monitor,Electronics,East,5.0,11818.33,59091.63
ORD-10021,2025-01-17,C1058,Monitor,Electronics,North,4.0,12315.52,49262.06
ORD-10022,2025-01-18,C1012,Keyboard,Accessories,East,1.0,1852.12,1852.12
ORD-10023,2025-01-19,C1060,Mouse,Accessories,North,5.0,995.09,4975.44
ORD-10024,2025-01-19,C1034,USB Hub,Electronics,East,5.0,1069.83,5349.17
ORD-10025,2025-01-20,C1001,Webcam,Electronics,East,1.0,2821.92,2821.92
ORD-10026,2025-01-21,C1077,Headphones,Accessories,North,5.0,2713.44,13567.22
ORD-10027,2025-01-22,C1014,Keyboard,Accessories,West,3.0,1752.27,5256.8
ORD-10028,2025-01-23,C1048,Webcam,Electronics,South,3.0,3485.34,10456.01
ORD-10029,2025-01-24,C1015,Monitor,Electronics,West,3.0,12368.04,37104.13
ORD-10030,2025-01-24,C1074,Monitor,Electronics,North,4.0,11874.11,47496.43
ORD-10031,2025-01-25,C1059,Monitor,Electronics,North,5.0,12334.82,61674.12
ORD-10032,2025-01-26,C1064,Mouse,Accessories,South,4.0,1040.47,4161.89
ORD-10033,2025-01-27,C1035,Laptop,Electronics,North,5.0,75800.3,379001.49
ORD-10034,2025-01-28,C1037,Monitor,Electronics,South,5.0,12066.61,60333.03
ORD-10035,2025-01-28,C1051,USB Hub,Electronics,east,1.0,1114.1,1114.1
ORD-10036,2025-01-29,C1062,Laptop,Electronics,North,2.0,70596.45,141192.9
ORD-10037,2025-01-30,C1067,USB Hub,Electronics,East,4.0,1025.58,4102.33
ORD-10038,2025-01-31,C1002,Webcam,Electronics,North,3.0,3285.27,9855.8
ORD-10039,2025-02-01,C1053,Mouse,Accessories,north,1.0,898.14,898.14
ORD-10040,2025-02-02,C1009,Headphones,Accessories,East,1.0,2562.78,2562.78
ORD-10041,2025-02-02,C1023,Mouse,Accessories,West,3.0,840.0,2519.99
ORD-10042,2025-02-03,C1066,Webcam,Electronics,North,4.0,2793.07,11172.28
ORD-10043,2025-02-04,C1020,Headphones,Accessories,South,1.0,2085.4,2085.4
ORD-10044,2025-02-05,C1063,Keyboard,Accessories,West,1.0,1639.1,1639.1
ORD-10045,2025-02-06,C1037,Laptop,Electronics,West,1.0,,62614.89
ORD-10046,2025-02-06,C1019,USB Hub,Electronics,East,3.0,1074.2,3222.6
ORD-10047,2025-02-07,C1027,Monitor,Electronics,South,1.0,13859.74,13859.74
ORD-10048,2025-02-08,C1042,USB Hub,Electronics,South,3.0,1197.33,3591.98
ORD-10049,2025-02-09,C1061,Headphones,Accessories,East,3.0,2307.58,6922.75
ORD-10050,2025-02-10,C1048,Webcam,Electronics,East,3.0,3289.01,9867.04
ORD-10051,2025-02-11,C1074,webcam,Electronics,South,4.0,3095.79,12383.15
ORD-10052,2025-02-11,C1069,Mouse,Accessories,north,3.0,879.53,2638.58
ORD-10053,2025-02-12,C1060,Keyboard,Accessories,North,4.0,1826.69,7306.75
ORD-10054,2025-02-13,C1048,Monitor,Electronics,West,4.0,12594.4,50377.62
ORD-10055,2025-02-14,C1023,Monitor,Electronics,South,5.0,11674.31,58371.56
ORD-10056,2025-02-15,C1033,Laptop,Electronics,South,4.0,70532.03,282128.11
ORD-10057,2025-02-16,C1010,Monitor,Electronics,South,3.0,10903.74,32711.22
ORD-10058,2025-02-16,C1030,Mouse,Accessories,West,3.0,900.46,2701.37
ORD-10059,2025-02-17,C1074,Webcam,Electronics,North,20.0,30920.0,7730.01
ORD-10060,2025-02-18,C1034,Headphones,Accessories,North,3.0,2544.62,7633.85
ORD-10061,2025-02-19,C1009,usb hub,Electronics,South,1.0,1226.12,1226.12
ORD-10062,2025-02-20,C1052,Webcam,Electronics,South,5.0,3223.43,16117.15
ORD-10063,2025-02-20,C1077,Keyboard,Accessories,East,5.0,1883.63,9418.16
ORD-10064,2025-02-21,C1069,USB Hub,Electronics,south,1.0,1095.0,1095.0
ORD-10065,2025-02-22,,Keyboard,Accessories,south,4.0,1775.46,7101.85
ORD-10066,2025-02-23,C1036,Keyboard,Accessories,West,1.0,1687.75,1687.75
ORD-10067,2025-02-24,C1042,USB Hub,Electronics,North,4.0,1137.87,4551.47
ORD-10068,2025-02-25,C1020,Keyboard,Accessories,East,1.0,1677.38,1677.38
ORD-10069,2025-02-25,C1022,Laptop,Electronics,East,3.0,68461.04,205383.13
ORD-10070,2025-02-26,C1019,Monitor,Electronics,south,4.0,13041.88,52167.5
ORD-10071,2025-02-27,C1079,webcam,Electronics,West,4.0,3293.83,13175.33
ORD-10072,2025-02-28,C1059,Mouse,Accessories,South,3.0,879.39,2638.17
ORD-10073,2025-03-01,C1067,Monitor,Electronics,West,5.0,12435.81,62179.03
ORD-10074,2025-03-02,C1065,laptop,Electronics,South,4.0,63394.9,253579.6
ORD-10075,2025-03-02,C1076,Headphones,Accessories,East,,2687.11,5374.22
ORD-10076,2025-03-03,C1009,Monitor,Electronics,East,4.0,10241.85,40967.4
ORD-10077,2025-03-04,C1070,Keyboard,Accessories,west,4.0,,7006.69
ORD-10078,2025-03-05,C1006,Mouse,Accessories,South,2.0,756.66,1513.32
